index,date,open,high,low,close,volume,dividends,stock splits
0,2024-04-01 00:00:00,71312.172,71312.172,70925.555,71158.453,27678720,0.0000000000,0.0000000000
1,2024-04-01 01:00:00,71172.273,71178.453,70849.203,70849.203,0,0.0000000000,0.0000000000
2,2024-04-01 02:00:00,70855.312,70910.961,70803.883,70887.281,124299264,0.0000000000,0.0000000000
3,2024-04-01 03:00:00,70887.273,70891.578,70561.977,70619.562,177526784,0.0000000000,0.0000000000
4,2024-04-01 04:00:00,70623.000,70670.062,70482.055,70488.375,146311168,0.0000000000,0.0000000000
5,2024-04-01 05:00:00,70468.719,70525.195,69157.266,69357.367,961964032,0.0000000000,0.0000000000
6,2024-04-01 06:00:00,69220.797,69688.266,68986.945,69653.156,1928323072,0.0000000000,0.0000000000
7,2024-04-01 07:00:00,69660.086,69798.734,69568.094,69648.453,528400384,0.0000000000,0.0000000000
8,2024-04-01 08:00:00,69643.414,69643.414,69259.938,69453.180,685047808,0.0000000000,0.0000000000
9,2024-04-01 09:00:00,69455.500,69616.938,69455.500,69463.523,434038784,0.0000000000,0.0000000000
10,2024-04-01 10:00:00,69452.961,69594.008,69354.547,69588.039,510574592,0.0000000000,0.0000000000
11,2024-04-01 11:00:00,69587.734,69787.445,69488.273,69509.000,375969792,0.0000000000,0.0000000000
12,2024-04-01 12:00:00,69498.375,69828.578,69474.773,69826.305,0,0.0000000000,0.0000000000
13,2024-04-01 13:00:00,69836.555,70059.359,69695.219,69896.188,535265280,0.0000000000,0.0000000000
14,2024-04-01 14:00:00,69896.562,69944.992,68662.766,68928.359,1692936192,0.0000000000,0.0000000000
15,2024-04-01 15:00:00,68927.953,68972.633,68279.117,68279.117,2276419584,0.0000000000,0.0000000000
16,2024-04-01 16:00:00,68245.320,68765.867,68245.320,68645.922,1203752960,0.0000000000,0.0000000000
17,2024-04-01 17:00:00,68595.102,68692.797,68276.602,68692.797,796270592,0.0000000000,0.0000000000
18,2024-04-01 18:00:00,68738.234,68991.773,68477.008,68932.055,318545920,0.0000000000,0.0000000000
19,2024-04-01 19:00:00,68938.938,69752.203,68909.195,69752.203,966514688,0.0000000000,0.0000000000
20,2024-04-01 20:00:00,69705.289,69808.328,69374.867,69758.375,617369600,0.0000000000,0.0000000000
21,2024-04-01 21:00:00,69761.078,69866.297,69601.062,69601.062,297504768,0.0000000000,0.0000000000
22,2024-04-01 22:00:00,69615.914,69859.805,69612.688,69779.805,237867008,0.0000000000,0.0000000000
23,2024-04-01 23:00:00,69750.055,69871.547,69702.555,69704.086,0,0.0000000000,0.0000000000
24,2024-04-02 00:00:00,69694.047,69699.953,69103.094,69372.828,151474176,0.0000000000,0.0000000000
25,2024-04-02 01:00:00,69378.352,69620.812,69313.844,69416.719,34365440,0.0000000000,0.0000000000
26,2024-04-02 02:00:00,69420.547,69420.547,66532.344,67036.938,3590316032,0.0000000000,0.0000000000
27,2024-04-02 03:00:00,67067.250,67295.312,66695.828,66763.008,1926467584,0.0000000000,0.0000000000
28,2024-04-02 04:00:00,66755.008,66934.094,66421.992,66604.266,1490419712,0.0000000000,0.0000000000
29,2024-04-02 05:00:00,66664.039,66829.852,66293.203,66756.406,0,0.0000000000,0.0000000000
30,2024-04-02 06:00:00,66806.367,67139.836,66793.273,66932.078,0,0.0000000000,0.0000000000
31,2024-04-02 07:00:00,66920.047,66920.047,66512.039,66536.844,5279744,0.0000000000,0.0000000000
32,2024-04-02 08:00:00,66519.914,66718.477,66240.602,66268.359,137162752,0.0000000000,0.0000000000
33,2024-04-02 09:00:00,66277.812,66535.195,65843.141,66116.336,1553485824,0.0000000000,0.0000000000
34,2024-04-02 10:00:00,66113.305,66274.695,65544.758,65964.703,1021767680,0.0000000000,0.0000000000
35,2024-04-02 11:00:00,65990.969,66003.500,65101.383,65460.547,2065108992,0.0000000000,0.0000000000
36,2024-04-02 12:00:00,65621.609,65813.672,65124.395,65327.590,1004621824,0.0000000000,0.0000000000
37,2024-04-02 13:00:00,65332.391,65380.566,64610.398,65232.852,1914789888,0.0000000000,0.0000000000
38,2024-04-02 14:00:00,65226.035,66238.461,65226.035,65704.562,688590848,0.0000000000,0.0000000000
39,2024-04-02 15:00:00,65714.328,66121.227,64752.336,64752.336,0,0.0000000000,0.0000000000
40,2024-04-02 16:00:00,64888.430,65723.883,64779.613,65586.586,971317248,0.0000000000,0.0000000000
41,2024-04-02 17:00:00,65562.211,65659.781,65335.578,65565.250,111529984,0.0000000000,0.0000000000
