index,date,open,high,low,close,volume,CT,QV,N,TB,TQ,I
0,2023-10-01 00:00:00,6.276e-05,6.521e-05,5.934e-05,6.01e-05,183650442970.59,1696377599999.0,11522920.27275521,83605.0,82960295244.87,5200986.64376899,0.0
1,2023-10-04 00:00:00,6.011e-05,6.013e-05,5.6e-05,5.862e-05,145907790884.38,1696636799999.0,8548739.8449792,69574.0,69635325539.23,4080969.80165888,0.0
2,2023-10-07 00:00:00,5.873e-05,5.924e-05,5.459e-05,5.592e-05,94001416533.54,1696895999999.0,5394792.84067051,48512.0,43150873001.53,2478761.99180725,0.0
3,2023-10-10 00:00:00,5.59e-05,5.945e-05,5.544e-05,5.7e-05,165035605650.48,1697155199999.0,9396572.59666811,78425.0,78996219346.33,4503267.65381643,0.0
4,2023-10-13 00:00:00,5.699e-05,5.88e-05,5.677e-05,5.749e-05,98800762466.65,1697414399999.0,5684418.3835693,47412.0,45333140299.49,2608720.081669,0.0
5,2023-10-16 00:00:00,5.75e-05,5.922e-05,5.503e-05,5.541e-05,133502497848.8,1697673599999.0,7617491.84696668,65722.0,58565149585.56,3342906.56560724,0.0
6,2023-10-19 00:00:00,5.541e-05,5.889e-05,5.419e-05,5.803e-05,164679093365.7,1697932799999.0,9347913.10248696,69085.0,74791893329.43,4249595.85754843,0.0
7,2023-10-22 00:00:00,5.805e-05,6.248e-05,5.682e-05,6.062e-05,299371921712.69,1698191999999.0,17891444.87800068,107832.0,139083254436.58,8309354.10195709,0.0
8,2023-10-25 00:00:00,6.059e-05,6.9e-05,5.994e-05,6.32e-05,578818791069.05,1698451199999.0,37079853.14120288,209970.0,267138332707.87,17137069.83022192,0.0
9,2023-10-28 00:00:00,6.32e-05,6.654e-05,6.313e-05,6.52e-05,247432229980.76,1698710399999.0,16109534.61995372,93135.0,111750065948.87,7278560.35981718,0.0
10,2023-10-31 00:00:00,6.52e-05,6.651e-05,6.136e-05,6.389e-05,315897662782.57,1698969599999.0,20204662.2968763,112537.0,143296183118.91,9166340.8290959,0.0
11,2023-11-03 00:00:00,6.388e-05,6.627e-05,6.161e-05,6.488e-05,215725957493.93,1699228799999.0,13858147.36939739,88155.0,97315741186.13,6251017.63133337,0.0
12,2023-11-06 00:00:00,6.491e-05,6.934e-05,6.4e-05,6.795e-05,312280865356.06,1699487999999.0,20880329.32451317,146196.0,148968842479.59,9966684.95367456,0.0
13,2023-11-09 00:00:00,6.797e-05,9.714e-05,5.946e-05,8.302e-05,2068523760446.07,1699747199999.0,170015385.15357676,1072508.0,1035523049977.88,85120637.30873919,0.0
14,2023-11-12 00:00:00,8.304e-05,8.939e-05,7.486e-05,7.779e-05,682603401884.26,1700006399999.0,56106124.97020629,384248.0,328253854202.89,27005283.77866389,0.0
15,2023-11-15 00:00:00,7.778e-05,8.589e-05,7.5e-05,7.851e-05,428126020295.45,1700265599999.0,34403766.61371682,263084.0,206804932450.51,16626382.96912348,0.0
16,2023-11-18 00:00:00,7.85e-05,7.865e-05,7.18e-05,7.557e-05,245800294593.74,1700524799999.0,18820422.48702927,140630.0,118266841609.35,9057726.64097977,0.0
17,2023-11-21 00:00:00,7.557e-05,7.699e-05,6.813e-05,7.359e-05,333101598492.62,1700783999999.0,24339610.455808,173096.0,158631290827.76,11600128.03615803,0.0
18,2023-11-24 00:00:00,7.365e-05,0.00011036,7.359e-05,0.00010012,1900341637430.81,1701043199999.0,176190273.18253818,1181767.0,956130318556.52,88870269.01988076,0.0
19,2023-11-27 00:00:00,0.00010011,0.000129,9.114e-05,0.0001163,4316364687048.25,1701302399999.0,482367924.3501508,3273187.0,2177710179682.38,243507510.13605943,0.0
20,2023-11-30 00:00:00,0.00011631,0.000155,0.00011174,0.00014728,2427646983194.08,1701561599999.0,326337681.79444784,2008969.0,1224649552105.41,164936504.12224743,0.0
21,2023-12-03 00:00:00,0.00014727,0.00028,0.00014555,0.00022539,5257746576862.85,1701820799999.0,1153009330.8776116,5961306.0,2637822786732.3,577744367.997419,0.0
22,2023-12-06 00:00:00,0.00022536,0.000247,0.00019588,0.00020319,2194424759849.82,1702079999999.0,467580054.4689457,2466622.0,1064706175593.44,227280907.23280996,0.0
23,2023-12-09 00:00:00,0.00020307,0.00021685,0.000163,0.00017653,2061496420222.07,1702339199999.0,396583776.214062,2030025.0,1005254709131.27,193608198.00150585,0.0
