index,date,open,high,low,close,volume,CT,QV,N,TB,TQ,I
0,2024-04-01 00:00:00,71280.0,71288.23,70844.14,71152.86,1116.66,1711933199999.0,79385601.808,63865.0,555.109,39461290.206,0.0
1,2024-04-01 01:00:00,71152.86,71172.08,70794.12,70819.25,882.387,1711936799999.0,62611135.166,49698.0,418.523,29694344.211,0.0
2,2024-04-01 02:00:00,70819.26,70902.8,70759.39,70866.98,628.483,1711940399999.0,44517625.996,41893.0,318.784,22580978.605,0.0
3,2024-04-01 03:00:00,70866.99,70880.0,70520.51,70588.01,733.284,1711943999999.0,51814702.256,59927.0,319.345,22565022.334,0.0
4,2024-04-01 04:00:00,70588.01,70648.83,70417.61,70429.99,749.627,1711947599999.0,52882108.18,53304.0,314.782,22207843.05,0.0
5,2024-04-01 05:00:00,70429.98,70515.6,69000.0,69167.48,3934.731,1711951199999.0,273994525.576,157617.0,1585.451,110395574.351,0.0
6,2024-04-01 06:00:00,69167.47,69671.64,68888.0,69614.96,3472.407,1711954799999.0,240810526.064,117143.0,1641.93,113901106.889,0.0
7,2024-04-01 07:00:00,69614.96,69786.0,69520.0,69594.94,1599.734,1711958399999.0,111448293.371,68466.0,857.301,59725264.601,0.0
8,2024-04-01 08:00:00,69594.94,69594.94,69165.35,69388.64,1853.674,1711961999999.0,128701548.755,79510.0,934.961,64909818.365,0.0
9,2024-04-01 09:00:00,69388.64,69616.65,69388.64,69395.0,995.469,1711965599999.0,69173395.976,47987.0,524.821,36468496.685,0.0
10,2024-04-01 10:00:00,69395.0,69577.14,69280.01,69554.01,924.221,1711969199999.0,64163323.011,50608.0,505.804,35114244.845,0.0
11,2024-04-01 11:00:00,69554.0,69799.98,69440.0,69460.01,1012.381,1711972799999.0,70452493.299,58506.0,517.277,35999276.254,0.0
12,2024-04-01 12:00:00,69460.0,69841.13,69400.69,69841.13,873.572,1711976399999.0,60860785.454,52773.0,480.108,33448882.747,0.0
13,2024-04-01 13:00:00,69841.13,70080.0,69654.22,69880.0,1739.023,1711979999999.0,121589631.185,87528.0,989.351,69189299.026,0.0
14,2024-04-01 14:00:00,69880.0,69933.93,68611.45,68906.07,3694.45,1711983599999.0,255685196.923,139613.0,1602.538,110869584.313,0.0
15,2024-04-01 15:00:00,68906.07,69021.66,68161.48,68237.15,4703.861,1711987199999.0,322530471.182,171573.0,2069.328,141910948.228,0.0
16,2024-04-01 16:00:00,68237.15,68784.53,68062.86,68566.16,2144.087,1711990799999.0,146828479.188,88509.0,1037.661,71054599.661,0.0
17,2024-04-01 17:00:00,68566.17,68752.03,68201.12,68750.01,1663.953,1711994399999.0,114016132.987,83196.0,840.658,57603077.017,0.0
18,2024-04-01 18:00:00,68750.0,68980.25,68450.0,68927.1,1618.878,1711997999999.0,111231125.493,80280.0,719.109,49416592.009,0.0
19,2024-04-01 19:00:00,68927.1,69816.24,68884.91,69648.01,2915.619,1712001599999.0,201938068.651,109863.0,1901.843,131664714.196,0.0
20,2024-04-01 20:00:00,69648.01,69785.34,69327.66,69730.06,1280.519,1712005199999.0,89061412.982,65153.0,694.969,48336372.657,0.0
21,2024-04-01 21:00:00,69730.06,69900.0,69552.1,69586.0,1013.734,1712008799999.0,70657544.953,60959.0,512.109,35694040.602,0.0
22,2024-04-01 22:00:00,69585.99,69853.87,69577.96,69711.79,1228.918,1712012399999.0,85693530.062,63205.0,584.696,40773245.901,0.0
23,2024-04-01 23:00:00,69711.8,69876.04,69634.7,69649.8,665.649,1712015999999.0,46438810.948,42262.0,284.689,19865328.03,0.0
24,2024-04-02 00:00:00,69649.81,69674.23,69040.0,69349.08,1454.317,1712019599999.0,100897716.363,62412.0,631.776,43819799.484,0.0
25,2024-04-02 01:00:00,69349.08,69600.0,69250.0,69391.12,796.88,1712023199999.0,55321170.995,59554.0,363.888,25262121.557,0.0
