index,date,open,high,low,close,volume,CT,QV,N,TB,TQ,I
0,2024-04-01 00:00:00,0.00015895,0.00015897,0.00015734,0.00015876,4803448036.33,1711933199999.0,759587.417,5055.0,2280560801.45,360612.856,0.0
1,2024-04-01 01:00:00,0.00015876,0.00015992,0.00015856,0.00015936,5355215157.45,1711936799999.0,852762.275,6334.0,2958733394.82,471129.722,0.0
2,2024-04-01 02:00:00,0.00015931,0.00016116,0.00015828,0.00015959,8335967558.88,1711940399999.0,1329528.052,6886.0,4853473073.95,774170.031,0.0
3,2024-04-01 03:00:00,0.00015958,0.00015973,0.00015804,0.00015827,3785119629.71,1711943999999.0,600903.646,3589.0,1581919607.48,251076.562,0.0
4,2024-04-01 04:00:00,0.00015827,0.00015829,0.0001566,0.00015721,5761223969.43,1711947599999.0,906178.013,4846.0,2339695059.45,368282.556,0.0
5,2024-04-01 05:00:00,0.00015723,0.00015772,0.0001496,0.00015099,20590839399.33,1711951199999.0,3140862.251,19052.0,8733799577.51,1333543.992,0.0
6,2024-04-01 06:00:00,0.00015094,0.00015455,0.00015023,0.00015368,11746866335.26,1711954799999.0,1792699.811,12814.0,6002515405.92,916722.532,0.0
7,2024-04-01 07:00:00,0.00015368,0.00015445,0.00015282,0.00015328,4036228589.39,1711958399999.0,619632.641,4601.0,2077603969.55,319059.004,0.0
8,2024-04-01 08:00:00,0.0001533,0.00015334,0.00015094,0.00015198,9414030964.25,1711961999999.0,1432413.962,8280.0,4794625422.71,729746.06,0.0
9,2024-04-01 09:00:00,0.00015198,0.0001531,0.00015182,0.00015212,3876843884.29,1711965599999.0,590578.43,3960.0,2124043713.31,323603.471,0.0
10,2024-04-01 10:00:00,0.00015209,0.00015251,0.0001512,0.00015223,4783523602.25,1711969199999.0,726452.597,4412.0,2233669142.17,339299.286,0.0
11,2024-04-01 11:00:00,0.00015221,0.00015317,0.00015155,0.00015168,3431470007.05,1711972799999.0,522548.637,4416.0,2022151067.77,308001.548,0.0
12,2024-04-01 12:00:00,0.00015166,0.00015304,0.00015122,0.00015283,6408939249.73,1711976399999.0,975818.282,5357.0,3101720701.84,472556.326,0.0
13,2024-04-01 13:00:00,0.00015281,0.00015364,0.00015188,0.0001529,5749593702.79,1711979999999.0,879369.74,5722.0,2678401460.02,409707.734,0.0
14,2024-04-01 14:00:00,0.00015286,0.00015322,0.00014818,0.00014945,14139992952.8,1711983599999.0,2130002.961,14437.0,6684615575.27,1007639.704,0.0
15,2024-04-01 15:00:00,0.00014945,0.00015034,0.00014559,0.000146,25615187687.35,1711987199999.0,3775300.287,26072.0,11064169373.1,1631243.237,0.0
16,2024-04-01 16:00:00,0.00014599,0.00014813,0.00014551,0.0001475,10108664590.73,1711990799999.0,1487479.916,9936.0,5210787830.7,767019.599,0.0
17,2024-04-01 17:00:00,0.00014746,0.00014785,0.0001452,0.00014756,6961176504.08,1711994399999.0,1021140.805,8377.0,3101065068.44,455169.097,0.0
18,2024-04-01 18:00:00,0.00014756,0.00014756,0.00014561,0.00014702,4145388672.43,1711997999999.0,607273.758,5790.0,2047130366.34,299775.861,0.0
19,2024-04-01 19:00:00,0.00014702,0.00014855,0.00014681,0.00014845,4844859137.97,1712001599999.0,715456.651,5287.0,2362479582.27,348872.101,0.0
